id,EAP,HPL,MWS
id02310,0.315393,0.0492626,0.635375
id24541,0.798532,0.164129,0.0373691
id00134,0.0379024,0.937208,0.0249192
id27757,0.791622,0.112551,0.0958565
id04081,0.591074,0.0700093,0.338947
id27337,0.855192,0.0740943,0.0707433
id24265,0.963083,0.0300929,0.00685385
id25917,0.19442,0.194441,0.611169
id04951,0.970237,0.022862,0.00693081
id14549,0.98532,0.000158936,0.0145507
id22505,0.154684,0.544144,0.301202
id24002,0.121954,0.789244,0.0888324
id18982,0.0389534,0.108265,0.852811
id15181,0.47691,0.343874,0.179245
id21888,0.745441,0.181714,0.0728751
id12035,0.028821,0.000164302,0.971045
id17991,0.604336,0.0765735,0.31912
id10707,0.976047,0.0205232,0.00345958
id07101,0.764193,0.0626379,0.173199
id00345,0.824607,0.0489373,0.126486
id05912,0.827145,0.0274643,0.145421
id13443,0.184507,0.66828,0.147243
id09248,0.528628,0.123128,0.348275
id17542,0.509378,0.163,0.327652
id06995,0.437643,0.0429652,0.519422
id25159,0.188347,0.00559229,0.806091
id25729,0.381006,0.253718,0.365306
id26949,0.959766,0.0133919,0.0268724
id27191,0.173729,0.00613602,0.820165
id07668,0.236167,0.050235,0.713628
id02230,0.324124,0.0463476,0.629559
id15553,0.771976,0.0906117,0.137442
id25688,0.0111295,0.948065,0.0408356
id17545,0.452134,0.526284,0.0216121
id13929,0.591839,0.138974,0.269216
id12880,0.633976,0.265132,0.100922
id19282,0.585997,0.33079,0.0832431
id14690,0.0245997,0.0168851,0.958545
id17975,0.423433,0.282095,0.294502
id08037,0.931632,0.0361698,0.0322287
id15412,0.330764,0.0140032,0.655263
id25032,0.968937,0.00686818,0.0242252
id27165,0.947515,0.0243024,0.028213
id03327,0.77309,0.189213,0.0377274
id18515,0.513725,0.272189,0.214117
id21003,0.20425,0.138765,0.657015
id23855,0.0330057,0.896467,0.0705578
id20724,0.91766,0.00566569,0.0767045
id13303,0.798688,0.135917,0.0654253
id16521,0.283183,0.459604,0.257243
id20775,0.933577,0.0156283,0.050825
id13029,0.786673,0.128012,0.0853457
id14660,0.867227,0.0691281,0.0636752
id11028,0.0118024,5.75879e-05,0.98817
id14180,0.973066,0.00854762,0.0184167
id25860,0.908684,0.0501535,0.0411927
id11910,0.403635,0.00624656,0.590148
id08065,0.0183597,0.0532316,0.928439
id22674,0.112383,0.0859132,0.801733
id25018,0.79753,0.0430842,0.159416
id10892,0.170392,0.790353,0.0392847
id10217,0.467404,0.36506,0.167566
id12996,0.828105,0.00190117,0.170024
id18262,0.743271,0.125967,0.130792
id08606,0.0536776,0.846774,0.0995786
id17233,0.895255,0.0107919,0.0939828
id00101,0.454822,0.387991,0.157218
id12225,0.598928,0.00132108,0.399781
id01364,0.0780441,0.915312,0.00667389
id24973,0.575094,0.00392586,0.421011
id25363,0.673364,0.0120234,0.314643
id10061,0.422175,0.0871684,0.490687
id17673,0.278266,0.0743194,0.647444
id13249,0.114775,0.00993915,0.875316
id10107,0.206594,0.0683121,0.725124
id04403,0.829344,0.134618,0.036068
id25728,0.791782,0.0513344,0.156913
id16184,0.0439311,0.45107,0.505029
id03438,0.451555,0.0457116,0.502764
id22923,0.000914323,0.999058,5.80996e-05
id08610,0.90926,0.0326834,0.0580871
id25355,0.275797,0.0513055,0.672927
id16916,0.296181,0.678609,0.0252396
id12793,0.114872,0.764406,0.120752
id11859,0.985245,0.000371246,0.0144138
id02434,0.877623,0.0600759,0.0623308
id27703,0.0425725,0.00213286,0.955325
id25212,0.0850756,0.631081,0.283873
id11308,0.00114718,0.00171436,0.997168
id26094,0.845475,0.040292,0.114263
id22080,0.999099,0.000720894,0.000209756
id03545,0.853854,0.0964928,0.049683
id23725,0.119291,0.189015,0.691724
id12009,0.920725,0.0511517,0.0281536
id24241,0.57287,0.305677,0.121483
id03596,0.199249,0.740453,0.0603276
id10749,0.224299,0.631519,0.144213
id22794,0.0308406,0.180216,0.788973
id15482,0.0435721,0.283311,0.673147
id04833,0.562933,0.281688,0.155409
id00397,0.130796,0.0532164,0.816018
id14691,0.2786,0.265053,0.456377
id05193,0.0247019,0.0271253,0.948203
id19541,0.729918,0.145623,0.124488
id22166,0.0628935,0.043468,0.893669
id20744,0.304685,0.0026498,0.692696
id10392,0.0766806,0.254594,0.668755
id00770,0.921738,0.0286961,0.0495955
id06018,0.757652,0.194738,0.04764
id15678,0.575178,0.0643029,0.360549
id08305,0.209198,0.78335,0.00748204
id08903,0.130239,0.000745025,0.869046
id14752,0.552782,0.258781,0.188467
id12468,0.128302,0.850341,0.0213876
id05085,0.652302,0.159717,0.188012
id21993,0.84266,0.00888447,0.148486
id15503,0.633039,0.16467,0.202321
id03021,0.23376,0.438351,0.327919
id16123,0.882087,0.036746,0.0811973
id19383,0.875134,0.0828001,0.0420962
id04186,0.9675,0.0124535,0.020077
id17954,0.0541061,0.211793,0.734131
id12030,0.0330515,0.000432941,0.966546
id13020,0.736468,0.197676,0.065886
id25327,0.0390985,0.685381,0.27555
id16344,0.346902,0.0658452,0.587282
id12303,0.516644,0.44204,0.0413456
id15017,0.881421,0.0847791,0.0338303
id22308,0.0362168,0.059458,0.904355
id06536,0.0915383,0.426988,0.481504
id19797,0.305756,0.290485,0.403789
id06332,0.268496,0.297488,0.434045
id22941,0.0258738,0.62125,0.352906
id13547,0.00725623,0.330242,0.662531
id06928,0.199047,0.00276991,0.798214
id12521,0.447878,0.316753,0.235399
id25716,0.706412,0.0104693,0.283149
id27116,0.0485567,0.000694972,0.950778
id19941,0.177088,0.714064,0.108879
id05711,0.00736252,0.0143757,0.978292
id02097,0.0261542,0.35022,0.623655
id03563,0.0269953,0.948531,0.0245041
id02295,0.00280756,0.997034,0.000188456
id08179,0.731621,0.166867,0.101543
id05332,0.58453,0.31187,0.10363
id15697,0.304609,0.34433,0.351091
id17026,0.810623,0.0110365,0.178371
id04243,0.320124,0.653457,0.0264491
id13175,0.811439,0.101211,0.0873795
id05387,0.727397,0.151743,0.12089
id19989,0.478749,0.193439,0.327842
id25173,0.124335,0.241282,0.634412
id08925,0.310438,0.639744,0.0498487
id03034,0.024124,0.958024,0.0178822
id13272,0.0215024,0.933469,0.0450591
id07956,0.588225,0.0138254,0.397979
id02648,0.128789,0.137648,0.733593
id01778,0.30078,0.1834,0.51585
id12846,0.0416222,0.088118,0.87029
id19001,0.139192,0.0839623,0.776876
id05763,0.839508,0.0786163,0.081906
id15590,0.361757,0.000207683,0.638065
id04912,0.712987,0.149939,0.137104
id21201,0.562432,0.38084,0.0567574
id13215,0.985072,0.000608705,0.0143494
id15612,0.0440414,0.904811,0.051178
id18501,0.422633,0.271585,0.305813
id07223,0.0836612,0.905797,0.010572
id06707,0.551709,0.183477,0.264845
id05238,0.0391145,0.926853,0.0340629
id00935,0.183546,0.362868,0.453616
id00110,0.392435,0.0692621,0.538333
id17476,0.586817,0.291583,0.12163
id15170,0.664928,0.239371,0.095731
id13397,0.367392,0.0818121,0.550826
